-1	0.352769	
-0.99	0.361137	
-0.98	0.368725	
-0.97	0.375499	
-0.96	0.381424	
-0.95	0.386468	
-0.94	0.390598	
-0.93	0.393786	
-0.92	0.396005	
-0.91	0.397229	
-0.9	0.397434	
-0.89	0.3966	
-0.88	0.394708	
-0.87	0.391742	
-0.86	0.387687	
-0.85	0.382532	
-0.84	0.376268	
-0.83	0.368891	
-0.82	0.360395	
-0.81	0.350782	
-0.8	0.340053	
-0.79	0.328215	
-0.78	0.315276	
-0.77	0.301248	
-0.76	0.286145	
-0.75	0.269986	
-0.74	0.252792	
-0.73	0.234587	
-0.72	0.215398	
-0.71	0.195256	
-0.7	0.174194	
-0.69	0.152249	
-0.68	0.129461	
-0.67	0.105874	
-0.66	0.0815311	
-0.65	0.0564828	
-0.64	0.0307802	
-0.63	0.00447763	
-0.62	-0.0223681	
-0.61	-0.0496974	
-0.6	-0.0774483	
-0.59	-0.105556	
-0.58	-0.133955	
-0.57	-0.162576	
-0.56	-0.191348	
-0.55	-0.220199	
-0.54	-0.249055	
-0.53	-0.27784	
-0.52	-0.306476	
-0.51	-0.334887	
-0.5	-0.362992	
-0.49	-0.390711	
-0.48	-0.417965	
-0.47	-0.444672	
-0.46	-0.470752	
-0.45	-0.496121	
-0.44	-0.520701	
-0.43	-0.54441	
-0.42	-0.567169	
-0.41	-0.588898	
-0.4	-0.60952	
-0.39	-0.628959	
-0.38	-0.647138	
-0.37	-0.663986	
-0.36	-0.67943	
-0.35	-0.693403	
-0.34	-0.705838	
-0.33	-0.71667	
-0.32	-0.725839	
-0.31	-0.733288	
-0.3	-0.738962	
-0.29	-0.742811	
-0.28	-0.744787	
-0.27	-0.744847	
-0.26	-0.742953	
-0.25	-0.73907	
-0.24	-0.733168	
-0.23	-0.725222	
-0.22	-0.715211	
-0.21	-0.70312	
-0.2	-0.688938	
-0.19	-0.672661	
-0.18	-0.65429	
-0.17	-0.633829	
-0.16	-0.611291	
-0.15	-0.586692	
-0.14	-0.560056	
-0.13	-0.531411	
-0.12	-0.500793	
-0.11	-0.468241	
-0.1	-0.433802	
-0.09	-0.397529	
-0.08	-0.359478	
-0.07	-0.319716	
-0.06	-0.27831	
-0.05	-0.235338	
-0.04	-0.190879	
-0.03	-0.145022	
-0.02	-0.0978566	
-0.01	-0.0494819	
0	0	
0.01	0.0504815	
0.02	0.10185	
0.03	0.153989	
0.04	0.206777	
0.05	0.260089	
0.06	0.313794	
0.07	0.367761	
0.08	0.421852	
0.09	0.475928	
0.1	0.529847	
0.11	0.583464	
0.12	0.636633	
0.13	0.689203	
0.14	0.741027	
0.15	0.791951	
0.16	0.841825	
0.17	0.890496	
0.18	0.937813	
0.19	0.983622	
0.2	1.02777	
0.21	1.07012	
0.22	1.11051	
0.23	1.1488	
0.24	1.18485	
0.25	1.21852	
0.26	1.24967	
0.27	1.27816	
0.28	1.30388	
0.29	1.32669	
0.3	1.34648	
0.31	1.36313	
0.32	1.37654	
0.33	1.38661	
0.34	1.39324	
0.35	1.39634	
0.36	1.39584	
0.37	1.39167	
0.38	1.38376	
0.39	1.37206	
0.4	1.35651	
0.41	1.33709	
0.42	1.31377	
0.43	1.28653	
0.44	1.25536	
0.45	1.22026	
0.46	1.18125	
0.47	1.13835	
0.48	1.0916	
0.49	1.04103	
0.5	0.986714	
0.51	0.928706	
0.52	0.867088	
0.53	0.801948	
0.54	0.733387	
0.55	0.661515	
0.56	0.586455	
0.57	0.508338	
0.58	0.427308	
0.59	0.34352	
0.6	0.257137	
0.61	0.168334	
0.62	0.0772955	
0.63	-0.0157855	
0.64	-0.110705	
0.65	-0.207252	
0.66	-0.305205	
0.67	-0.404336	
0.68	-0.504407	
0.69	-0.605175	
0.7	-0.706391	
0.71	-0.807796	
0.72	-0.909129	
0.73	-1.01012	
0.74	-1.1105	
0.75	-1.21	
0.76	-1.30832	
0.77	-1.4052	
0.78	-1.50034	
0.79	-1.59347	
0.8	-1.68429	
0.81	-1.77253	
0.82	-1.8579	
0.83	-1.94011	
0.84	-2.01889	
0.85	-2.09396	
0.86	-2.16505	
0.87	-2.23189	
0.88	-2.29422	
0.89	-2.35178	
0.9	-2.40434	
0.91	-2.45164	
0.92	-2.49346	
0.93	-2.52958	
0.94	-2.55978	
0.95	-2.58388	
0.96	-2.60168	
0.97	-2.61301	
0.98	-2.6177	
0.99	-2.61562	
